lang,feature,value1,value1_name,value2,value2_name
Lak,Morning greeting,Both,Type of morning greeting,,Borrowing source
Northern Akhvakh,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Andi,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Archi,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Avar,Morning greeting,Did you wake up?,Type of morning greeting,Avar,Borrowing source
Bagvalal,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Bezhta,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Botlikh,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Chamalal,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Nuclear North Dargwa,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Godoberi,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Hinuq,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Karata,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Xvarshi,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Tindi,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Tsez,Morning greeting,Did you wake up?,Type of morning greeting,,Borrowing source
Aghul,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Eastern Armenian,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
North Azerbaijani,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Budukh,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Chechen,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Georgian,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Ingush,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Khinalug,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Kumyk,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Lezgian,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Nogai,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Rutul,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Tabasaran,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Northern Muslim Tat,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Tsakhur,Morning greeting,Good morning,Type of morning greeting,,Borrowing source
Udi,Morning greeting,Good morning,Type of morning greeting,Azerbaijani,Borrowing source
Bats,Morning greeting,No special greeting,Type of morning greeting,,Borrowing source
